Time	ET
2011-03-22 00:00:00	1.74112
2011-03-23 00:00:00	1.71959
2011-03-24 00:00:00	1.95419
2011-03-25 00:00:00	1.48709
2011-03-26 00:00:00	1.61029
2011-03-27 00:00:00	1.58568
2011-03-28 00:00:00	1.70029
2011-03-29 00:00:00	1.62867
2011-03-30 00:00:00	1.80792
2011-03-31 00:00:00	1.90888
2011-04-01 00:00:00	2.14254
2011-04-02 00:00:00	2.11683
2011-04-03 00:00:00	1.88555
2011-04-04 00:00:00	1.89314
2011-04-05 00:00:00	2.38816
2011-04-06 00:00:00	2.50752
2011-04-07 00:00:00	2.18989
2011-04-08 00:00:00	2.15384
2011-04-09 00:00:00	3.15788
2011-04-10 00:00:00	2.7229
2011-04-11 00:00:00	2.21967
2011-04-12 00:00:00	2.05951
2011-04-13 00:00:00	2.21945
2011-04-14 00:00:00	2.43939
2011-04-15 00:00:00	2.31688
2011-04-16 00:00:00	2.38618
2011-04-17 00:00:00	2.53983
2011-04-18 00:00:00	3.08757
2011-04-19 00:00:00	3.02391
2011-04-20 00:00:00	3.33487
2011-04-21 00:00:00	2.87351
2011-04-22 00:00:00	2.79364
2011-04-23 00:00:00	2.7542
2011-04-24 00:00:00	2.86086
2011-04-25 00:00:00	2.53509
2011-04-26 00:00:00	2.73161
2011-04-27 00:00:00	3.37215
2011-04-28 00:00:00	3.39906
2011-04-29 00:00:00	3.49264
2011-04-30 00:00:00	2.80512
2011-05-01 00:00:00	4.05755
2011-05-02 00:00:00	3.35884
2011-05-03 00:00:00	3.33307
2011-05-04 00:00:00	4.20601
2011-05-05 00:00:00	2.87687
2011-05-06 00:00:00	3.29912
2011-05-07 00:00:00	3.31149
2011-05-08 00:00:00	3.24183
2011-05-09 00:00:00	3.01301
2011-05-10 00:00:00	3.17034
2011-05-11 00:00:00	3.12126
2011-05-12 00:00:00	3.05415
2011-05-13 00:00:00	2.8157
2011-05-14 00:00:00	3.00102
2011-05-15 00:00:00	2.98421
2011-05-16 00:00:00	3.22537
2011-05-17 00:00:00	3.30122
2011-05-18 00:00:00	3.22496
2011-05-19 00:00:00	3.04532
2011-05-20 00:00:00	3.01087
2011-05-21 00:00:00	3.1488
2011-05-22 00:00:00	3.11284
2011-05-23 00:00:00	3.17345
2011-05-24 00:00:00	3.05804
