Time	ET
2011-03-22 00:00:00	1.66085
2011-03-23 00:00:00	1.64301
2011-03-24 00:00:00	1.87914
2011-03-25 00:00:00	1.41181
2011-03-26 00:00:00	1.52779
2011-03-27 00:00:00	1.50879
2011-03-28 00:00:00	1.62282
2011-03-29 00:00:00	1.54721
2011-03-30 00:00:00	1.71672
2011-03-31 00:00:00	1.81743
2011-04-01 00:00:00	2.07448
2011-04-02 00:00:00	2.03827
2011-04-03 00:00:00	1.80505
2011-04-04 00:00:00	1.81969
2011-04-05 00:00:00	2.30411
2011-04-06 00:00:00	2.42406
2011-04-07 00:00:00	2.1041
2011-04-08 00:00:00	2.07901
2011-04-09 00:00:00	3.10192
2011-04-10 00:00:00	2.66082
2011-04-11 00:00:00	2.13583
2011-04-12 00:00:00	1.96807
2011-04-13 00:00:00	2.12981
2011-04-14 00:00:00	2.3454
2011-04-15 00:00:00	2.22401
2011-04-16 00:00:00	2.28831
2011-04-17 00:00:00	2.46793
2011-04-18 00:00:00	3.02143
2011-04-19 00:00:00	2.95726
2011-04-20 00:00:00	3.2688
2011-04-21 00:00:00	2.80182
2011-04-22 00:00:00	2.71713
2011-04-23 00:00:00	2.67983
2011-04-24 00:00:00	2.78688
2011-04-25 00:00:00	2.44933
2011-04-26 00:00:00	2.65395
2011-04-27 00:00:00	3.29419
2011-04-28 00:00:00	3.32085
2011-04-29 00:00:00	3.41829
2011-04-30 00:00:00	2.71295
2011-05-01 00:00:00	3.92394
2011-05-02 00:00:00	3.23599
2011-05-03 00:00:00	3.20417
2011-05-04 00:00:00	4.04994
2011-05-05 00:00:00	2.76447
2011-05-06 00:00:00	3.17877
2011-05-07 00:00:00	3.19626
2011-05-08 00:00:00	3.12182
2011-05-09 00:00:00	2.89768
2011-05-10 00:00:00	3.04573
2011-05-11 00:00:00	2.99581
2011-05-12 00:00:00	2.92814
2011-05-13 00:00:00	2.69567
2011-05-14 00:00:00	2.87576
2011-05-15 00:00:00	2.86056
2011-05-16 00:00:00	3.11262
2011-05-17 00:00:00	3.17185
2011-05-18 00:00:00	3.09441
2011-05-19 00:00:00	2.91939
2011-05-20 00:00:00	2.88575
2011-05-21 00:00:00	3.02438
2011-05-22 00:00:00	2.98081
2011-05-23 00:00:00	3.04047
2011-05-24 00:00:00	2.92409
2011-05-25 00:00:00	2.91221
2011-05-26 00:00:00	3.15722
2011-05-27 00:00:00	3.16949
2011-05-28 00:00:00	3.16434
2011-05-29 00:00:00	3.04911
2011-05-30 00:00:00	3.23303
2011-05-31 00:00:00	4.18289
2011-06-01 00:00:00	3.50223
2011-06-02 00:00:00	3.9777
2011-06-03 00:00:00	3.94973
2011-06-04 00:00:00	3.28216
2011-06-05 00:00:00	3.20884
2011-06-06 00:00:00	3.19848
2011-06-07 00:00:00	3.26107
2011-06-08 00:00:00	3.1732
2011-06-09 00:00:00	3.23167
2011-06-10 00:00:00	3.23968
2011-06-11 00:00:00	2.94125
2011-06-12 00:00:00	3.22271
2011-06-13 00:00:00	3.56131
2011-06-14 00:00:00	3.52307
2011-06-15 00:00:00	3.72318
2011-06-16 00:00:00	3.32982
2011-06-17 00:00:00	3.53629
2011-06-18 00:00:00	3.44208
2011-06-19 00:00:00	3.67163
2011-06-20 00:00:00	3.51998
2011-06-21 00:00:00	3.67255
2011-06-22 00:00:00	3.58724
2011-06-23 00:00:00	3.43209
2011-06-24 00:00:00	3.49086
2011-06-25 00:00:00	3.63958
2011-06-26 00:00:00	4.2442
2011-06-27 00:00:00	3.86284
2011-06-28 00:00:00	4.00916
2011-06-29 00:00:00	4.06597
2011-06-30 00:00:00	3.38181
2011-07-01 00:00:00	3.93624
2011-07-02 00:00:00	5.67518
2011-07-03 00:00:00	4.3382
2011-07-04 00:00:00	5.55267
2011-07-05 00:00:00	3.87009
2011-07-06 00:00:00	3.55166
2011-07-07 00:00:00	3.49198
2011-07-08 00:00:00	3.71391
2011-07-09 00:00:00	3.53485
2011-07-10 00:00:00	3.52186
2011-07-11 00:00:00	3.45917
2011-07-12 00:00:00	3.3633
2011-07-13 00:00:00	3.96008
2011-07-14 00:00:00	3.58105
2011-07-15 00:00:00	3.675
2011-07-16 00:00:00	3.77846
2011-07-17 00:00:00	3.73572
2011-07-18 00:00:00	3.51214
2011-07-19 00:00:00	3.40028
2011-07-20 00:00:00	3.19421
2011-07-21 00:00:00	3.22267
2011-07-22 00:00:00	3.12971
2011-07-23 00:00:00	3.90371
2011-07-24 00:00:00	4.0315
2011-07-25 00:00:00	4.15388
2011-07-26 00:00:00	3.38932
2011-07-27 00:00:00	3.65002
2011-07-28 00:00:00	3.31064
2011-07-29 00:00:00	3.30897
2011-07-30 00:00:00	4.18209
2011-07-31 00:00:00	3.38452
2011-08-01 00:00:00	3.80783
2011-08-02 00:00:00	3.42091
2011-08-03 00:00:00	3.66873
2011-08-04 00:00:00	3.39653
2011-08-05 00:00:00	3.27763
2011-08-06 00:00:00	2.9118
2011-08-07 00:00:00	3.12709
2011-08-08 00:00:00	3.06729
2011-08-09 00:00:00	2.96291
2011-08-10 00:00:00	3.0987
2011-08-11 00:00:00	3.09461
2011-08-12 00:00:00	3.23621
2011-08-13 00:00:00	3.31049
2011-08-14 00:00:00	3.04774
2011-08-15 00:00:00	2.98486
2011-08-16 00:00:00	2.81415
2011-08-17 00:00:00	2.73942
2011-08-18 00:00:00	2.75932
2011-08-19 00:00:00	2.87372
2011-08-20 00:00:00	2.92226
2011-08-21 00:00:00	2.81258
2011-08-22 00:00:00	2.68486
2011-08-23 00:00:00	3.04016
2011-08-24 00:00:00	2.80315
2011-08-25 00:00:00	2.78746
2011-08-26 00:00:00	2.47275
2011-08-27 00:00:00	2.46535
2011-08-28 00:00:00	2.45703
2011-08-29 00:00:00	2.44939
2011-08-30 00:00:00	2.53714
2011-08-31 00:00:00	2.42972
2011-09-01 00:00:00	2.53239
2011-09-02 00:00:00	2.64489
2011-09-03 00:00:00	2.48327
2011-09-04 00:00:00	2.29305
2011-09-05 00:00:00	2.3743
2011-09-06 00:00:00	2.39211
2011-09-07 00:00:00	2.30234
2011-09-08 00:00:00	2.25173
2011-09-09 00:00:00	2.27179
2011-09-10 00:00:00	2.54243
2011-09-11 00:00:00	2.19382
2011-09-12 00:00:00	2.29147
2011-09-13 00:00:00	2.02086
2011-09-14 00:00:00	1.93548
2011-09-15 00:00:00	2.44614
2011-09-16 00:00:00	2.00876
2011-09-17 00:00:00	1.88307
2011-09-18 00:00:00	1.96156
2011-09-19 00:00:00	1.79611
2011-09-20 00:00:00	1.90658
2011-09-21 00:00:00	1.8419
2011-09-22 00:00:00	1.82291
2011-09-23 00:00:00	1.9188
2011-09-24 00:00:00	1.79116
2011-09-25 00:00:00	1.77869
2011-09-26 00:00:00	1.67286
2011-09-27 00:00:00	1.79788
2011-09-28 00:00:00	2.23801
2011-09-29 00:00:00	2.00398
2011-09-30 00:00:00	2.06187
2011-10-01 00:00:00	1.85748
2011-10-02 00:00:00	1.65663
2011-10-03 00:00:00	1.57683
2011-10-04 00:00:00	1.41848
2011-10-05 00:00:00	1.50892
2011-10-06 00:00:00	1.25111
2011-10-07 00:00:00	1.29424
2011-10-08 00:00:00	1.33789
2011-10-09 00:00:00	1.4975
2011-10-10 00:00:00	1.10926
2011-10-11 00:00:00	1.28918
2011-10-12 00:00:00	1.15694
2011-10-13 00:00:00	1.21219
2011-10-14 00:00:00	1.34351
2011-10-15 00:00:00	1.28377
2011-10-16 00:00:00	1.16437
2011-10-17 00:00:00	1.00231
2011-10-18 00:00:00	0.967085
2011-10-19 00:00:00	0.839664
2011-10-20 00:00:00	0.842555
2011-10-21 00:00:00	1.07386
