Time	ET
2011-03-22 00:00:00	1.63493
2011-03-23 00:00:00	1.61711
2011-03-24 00:00:00	1.84562
2011-03-25 00:00:00	1.38429
2011-03-26 00:00:00	1.5006
2011-03-27 00:00:00	1.4799
2011-03-28 00:00:00	1.5932
2011-03-29 00:00:00	1.51876
2011-03-30 00:00:00	1.68721
2011-03-31 00:00:00	1.78786
2011-04-01 00:00:00	2.04717
2011-04-02 00:00:00	2.01026
2011-04-03 00:00:00	1.77806
2011-04-04 00:00:00	1.79273
2011-04-05 00:00:00	2.27503
2011-04-06 00:00:00	2.39458
2011-04-07 00:00:00	2.07428
2011-04-08 00:00:00	2.05055
2011-04-09 00:00:00	3.06321
2011-04-10 00:00:00	2.62876
2011-04-11 00:00:00	2.10649
2011-04-12 00:00:00	1.93765
2011-04-13 00:00:00	2.09779
2011-04-14 00:00:00	2.31311
2011-04-15 00:00:00	2.19294
2011-04-16 00:00:00	2.25572
2011-04-17 00:00:00	2.43385
2011-04-18 00:00:00	2.98084
2011-04-19 00:00:00	2.91943
2011-04-20 00:00:00	3.22582
2011-04-21 00:00:00	2.76567
2011-04-22 00:00:00	2.68236
2011-04-23 00:00:00	2.64197
2011-04-24 00:00:00	2.748
2011-04-25 00:00:00	2.41486
2011-04-26 00:00:00	2.61398
2011-04-27 00:00:00	3.24524
2011-04-28 00:00:00	3.27175
2011-04-29 00:00:00	3.37117
2011-04-30 00:00:00	2.67739
2011-05-01 00:00:00	3.89508
2011-05-02 00:00:00	3.20673
2011-05-03 00:00:00	3.17328
2011-05-04 00:00:00	4.01515
2011-05-05 00:00:00	2.72789
2011-05-06 00:00:00	3.13944
2011-05-07 00:00:00	3.15836
2011-05-08 00:00:00	3.08148
2011-05-09 00:00:00	2.86024
2011-05-10 00:00:00	3.00399
2011-05-11 00:00:00	2.95394
2011-05-12 00:00:00	2.88601
2011-05-13 00:00:00	2.65618
2011-05-14 00:00:00	2.83377
2011-05-15 00:00:00	2.81938
2011-05-16 00:00:00	3.08041
2011-05-17 00:00:00	3.12836
2011-05-18 00:00:00	3.05109
2011-05-19 00:00:00	2.87753
2011-05-20 00:00:00	2.84446
2011-05-21 00:00:00	2.98366
2011-05-22 00:00:00	2.93656
2011-05-23 00:00:00	2.99591
2011-05-24 00:00:00	2.8799
2011-05-25 00:00:00	2.87269
2011-05-26 00:00:00	3.1121
2011-05-27 00:00:00	3.12697
2011-05-28 00:00:00	3.12043
2011-05-29 00:00:00	3.00654
2011-05-30 00:00:00	3.19886
2011-05-31 00:00:00	4.14871
2011-06-01 00:00:00	3.44786
2011-06-02 00:00:00	3.90198
2011-06-03 00:00:00	3.87444
2011-06-04 00:00:00	3.22532
2011-06-05 00:00:00	3.14695
2011-06-06 00:00:00	3.14255
2011-06-07 00:00:00	3.19341
2011-06-08 00:00:00	3.10934
2011-06-09 00:00:00	3.17523
2011-06-10 00:00:00	3.16538
2011-06-11 00:00:00	2.88466
